Call #;Librarian;TITLE;WEED ISSUES;Available Online;PL Microfiche Holdings;Online Collection
EDUCATION - HIGHER EDUCATION;Lisa Hausman;Academe;2002-2007;from 2002;1987-2007;Open Access eJournals (McGill)|
TL787;All;Ad Astra;None;None;1989-2008;None
HF5801;Crystal Boyce;AdAge;1996-1996;from 1996;1980-1996;Academic OneFile|
HV1;Elizabeth Torres;Administration in Social Work;None;from 1997;1987-1996;Taylor & Francis Journals Current Content (1997-present)|
HF5500;Crystal Boyce;Administrative Management;1985-1988;1985-1988;1975-1988;General OneFile|
HQ793;Tim Martin;Adolescence;1990-1998;1990-2009;1988-1998;Global Issues in Context|
LC5251;Lisa Hausman;Adult Learning;1996-1998;from 1996;1989-1998;General OneFile|
DT1;Elizabeth Torres;Africa Report;1993-1995;1993-1995;1986-1995;EBSCO MAS Complete|
HV1457;All;Aging;1987-1989;1984-1994 1996-1996 from 2009;1987-1989;EBSCO MasterFILE Complete|Free Medical Journals|Academic OneFile|
Q334;All;AI Magazine;1995-2006;from 1980;1995-2006;Academic OneFile|Business Collection|
HE9761.1;All;Air Transport World;1986-2001;from 1984;1986-2001;Small Business Reference Center|Business Source Complete|
HV5285;All;Alcohol Health and Research World;1991-1998;1989-1998;1991-1998;General OneFile|
N6505;Trenton Tubbs;The American art journal;None;None;1987-2001;None
N1;Trenton Tubbs;American Artist;1993-2004;1993-2010;1980-2004;Academic OneFile|
H1;Tim Martin;American Behavioral Scientist;1993-1998;1993-1998 from 1999;1988-1998;Biography in Context|Nursing and Allied Health Collection|
NK1;All;American Craft;2006-2008;from 2006;1980-2008;Small Business Reference Center|
HF5801;Crystal Boyce;American Demographics;1991-2001;1991-2004;1984-2001;Business Collection|
L11;Lisa Hausman;American Education;1984-1985;1984-1985;1972-1985;General OneFile|
L11;Lisa Hausman;American Educational Research Journal;None;from 1999;1987-1998;SAGE Premier 2018|
L11;Lisa Hausman;American Educator;1994-2008;from 1994;1987-2008;Academic OneFile|
HF1;Elizabeth Torres;American Enterprise, The;1993-1998;1993-2006;1990-1998;General OneFile|
GN1;Crystal Boyce;American Ethnologist;1987-2007;1974-2010;1987-2007;Wiley Online Library Anthrosource|
PN1993;All;American Film;None;None;1989-1992;None
E171;Trenton Tubbs;American Heritage;1990-2009;1990-2012 from 2017;1968-2009;Academic OneFile|General OneFile|EBSCO MAS Complete|
HF1;Crystal Boyce;American Import/Export Global Trade;None;None;1988-1988;None
CC1;All;American Journal of Archaeology;1990-2007;1897-2014;1990-2007;JSTOR Free Early Journal Content|JSTOR Arts & Sciences II Collection|
RC584;All;American Journal of Clinical Nutrition, The;1999-2008;1999-2017;1991-2008;Free Access Journals|
