Call #;Librarian;TITLE;WEED ISSUES;Available Online;PL Microfiche Holdings;Online Collection
"Psychology, Education";Tim Martin;Adolescence;1990-1998;1990-2009;1988-1998;Health Source: Consumer Edition
Education;Lisa Hausman;Adult Learning;1996-1988;from 1996;1988-1998;Academic Search Complete
Business & Economics;Crystal Boyce;Advertising Age;1996;from 1996;1980-1996;Academic Search Complete
Political Science;Elizabeth Torres;Africa Report;1995;1993-1995;1986-1995;Academic Search Complete
Computers;Mathew Kanekoa;AI Magazine;1997-2006;from 1997;1995-2006;Business Collection
"Aeronautics & space flight, Transportation";Lydia Lee;Air Transport World;1997-2001;from 1997;1986-2001;Business Source Complete 
HV5285;Elizabeth Torres;Alcohol Health and Research World;All;1990-1998;1991-1998;Academic Search Complete
N1;Trenton Tubbs;American Artist;1993-2004;1993-2010;1980-2004;General OneFile
H1;Elizabeth Torres;The American Behavioral Scientist;1993-1998;1993-1998;1988-1998;Nursing and Allied Health Connection
NK1;Trenton Tubbs;American Craft;2006-2008;from 2006;1980-2008;Small Business Reference Center
Population Studies;;American Demographics;1991-2001;1991-2004;1984-2001;General OneFile
Education;Lisa Hausman;American Education;1985;1984-1985;1972-1985;Academic OneFile
HF1;Crystal Boyce;The American Enterprise;1994-1998;1994-2006;1990-1998;Business Source Complete 
GN1;Crystal Boyce;American Ethnologist;All;1974-2010;1987-2007;JSTOR Arts & Sciences II Collection
History;Jerome Nicolas;American Heritage;1990-2009;1990-2012;1968-2009;EBSCO MasterFILE Complete
CC1;Trenton Tubbs;American Journal of Archaeology;All;1897-2014;1990-2007;JSTOR Arts & Sciences II Collection
RC584;Elizabeth Torres;The American Journal of Clinical Nutrition;1999-2008;1999-12 months ago;1991-2008;Free Medical Journals
RA790.A1;Elizabeth Torres;American Journal of Orthopsychiatry;All;1930-2001;1987-1989;APA PsycArticles
RC321;Elizabeth Torres;The American Journal of Psychiatry;1997-2008;from 1997;1986-2008;PsychiatryOnline Core
BF1;Tim Martin;The American Journal of Psychology;1993-2007;from 1993;1977-2007;Academic OneFile
RA421;Elizabeth Torres;American Journal of Public Health;All;from 1975;1988-2002;Business Source Complete 
AP2;All;American Journalism Review;All;from 1991;1993;Open Acess eJournals
Music;Trenton Tubbs;American Music;1997-2007;from 1992;1990-2007;U.S. History in Context
PS580;Elizabeth Torres;The American Poetry Review;1989-1999;from 1989;1987-1999;Literature Resource Center
AP2;All;The American Scholar;1974;from 1974;1970-1974;Academic Search Complete
AP2;All;The American Spectator;1990;1990-2014;1985-1990;EBSCO MAS Complete
S930;Lydia Lee;The Amicus Journal;1993-2001;1993-2001;1987-2001;Academic OneFile
H1;Elizabeth Torres;Annals of the American Academy of Political and Social Science;1997;1997-1998;1987-1998;Academic OneFile
G3;Mathew Kanekoa;Annals of the Association of American Geographers;All;1911-18 months ago;1987-2006;Academic Search Complete
Archaeology;Trenton Tubbs;Antiquity;1993-2001;1993- 180 days ago;1988-2001;Academic OneFile
QR1;Lydia Lee;Applied and Environmental Microbiology;All;from 1953;1996-2007;Highwire Press
CC1;Trenton Tubbs;Archaeology;1999-2007;from 1999;1988-2007;Academic Search Complete
NA1;Trenton Tubbs;Architectural Record;2001-2008;from 2001;1995-2008;Business Source Complete 
N81;Trenton Tubbs;Art Journal;All;from 1974;1987-2001;Academic Search Complete
N1;Trenton Tubbs;Artforum International;1993-2009;from 1993;1989-2009;Academic OneFile
QB741;Lydia Lee;Astronomy;1992-2008;from 1992;1981-2008;Academic Search Complete
AP2;All;The Atlantic;All;1984-1993;1987-1988;Academic OneFile
TL501;Lydia Lee;Aviation Week & Space Technology;2001-2008;from 2001;1984-2008;Business Source Complete 
HF5801;Crystal Boyce;B to B;All;2000-2013;2000-2008;Business Source Complete 
Sports and Games;Crystal Boyce;Backpacker;1990-2007;from 1990;1988-2007;EBSCO MasterFILE Complete
Sciences;Lydia Lee;Behavioral Science;1990-1996;1990-1996;1987-1996;Business Source Complete 
HG8501;Crystal Boyce;Best's Review;1984; 1993-1999;1984; 1993-1999;1979-1999;General OneFile
HG8501;Crystal Boyce;Best's Review Life/Health Insurance Edition;1984; 1993-1999;1984; 1993-1999;1979-1999;Business Source Complete 
HG8501;Crystal Boyce;Best's Review Property/ Casualty Insurance Edition;1984; 1993-1999;1984; 1993-1999;1979-1999;Business Source Complete 
TP659.A1;Lydia Lee;Beverage World;1989-2007;1989-2016;1988-2007;Business Collection
GV1040;Crystal Boyce;Bicycling;1990-2008;from 1990;1989-2008;EBSCO MasterFILE Complete
Occupations and Careers;;Black Collegian;1990-1998;1990-2010;1988-1998;Academic Search Complete
E185.8;Trenton Tubbs;Black Enterprise;1990-1998;from 1990;1989-1998;Academic Search Complete
Political Science; Ethnic Interests; Social Sciences;Elizabeth Torres;The Black Scholar;1991-1992;from 1991;1987-1992;Academic Search Complete
K5;Elizabeth Torres;Boston College Environmental Affairs Law Review;1990-1998;from 1990;1980-1998;Sustainability Reference Center
HF5801;Crystal Boyce;Brandweek;All;1992-2011;1992-2007;Business Insights: Global
HF5801;Crystal Boyce;Broadcasting & Cable;All;from 1993;1993-1999;Business Collection
H1;Elizabeth Torres;The Brookings Review;1992-1998;1992-2003;1987-1998;General OneFile
HF3000;Crystal Boyce;Business America;1984-1998;1984-1998;1978-1998;Academic OneFile
HD7102.U4;Crystal Boyce;Business and Health;1989-2001;1989-2002;1988-2001;Academic OneFile
HF5717;Crystal Boyce;Business Communications Review;1993;1993-2007;1989-1993;Business Source Complete 
HF5565;Crystal Boyce;Business Credit;All;from 1991;1993-1999;Business Collection
HC101;Crystal Boyce;Business Economics;All;from 1989;1990-1998;Academic OneFile
Business & Economics;Crystal Boyce;Business History Review;1985-2000;1985-2000;1980-2007;Business Insights: Global
HG8011;Crystal Boyce;Business Insurance;1994-2008;1994-2016;1993-2008;Business Collection
